Id,Name,Field,UseCustomFx,IsSpecial,HideInfo,Width,Height,Hp,Reward,BoardGold,EventId,EventPoint,Chance,DayLimit,NwNameFire,NwNameIce,NwNameMagic,English
2001,br_dirt,1,False,False,False,0,0,2.00E+01,5.00E+00,0,0,0,,0,,,,Dirt
2002,br_mud,2,False,False,False,0,0,6.00E+01,1.20E+01,0,0,0,,0,,,,Mud
2003,br_pottery,3,False,False,False,0,0,4.00E+02,2.80E+01,0,0,0,,0,,,,Pottery
2004,br_ceramic,4,False,False,False,0,0,3.20E+03,7.00E+01,0,0,0,,0,,,,Ceramic
2005,br_clay,5,False,False,False,0,0,2.75E+04,1.80E+02,0,0,0,,0,,,,Clay
2006,br_grass,6,False,False,False,0,0,4.00E+05,4.75E+02,0,0,0,,0,,,,Grass
2007,br_vine,7,False,False,False,0,0,5.00E+06,1.30E+03,0,0,0,,0,,,,Vine
2008,br_board,8,False,False,False,0,0,5.00E+07,3.60E+03,0,0,0,,0,,,,Plank
2009,br_wood,9,False,False,False,0,0,4.00E+08,1.00E+04,0,0,0,,0,,,,Timber
2010,br_rubber,10,False,False,False,0,0,1.00E+10,2.85E+04,0,0,0,,0,,,,Rubber
2011,br_silicon,11,False,False,False,0,0,4.50E+11,8.30E+04,0,0,0,,0,,,,Silicon
2012,br_plastic,12,False,False,False,0,0,8.75E+12,2.42E+05,0,0,0,,0,,,,Plastic
2013,br_gravel,13,False,False,False,0,0,1.20E+14,7.16E+05,0,0,0,,0,,,,Gravel
2014,br_carbon,14,False,False,False,0,0,2.55E+15,2.13E+06,0,0,0,,0,,,,Carbon
2015,br_sandstone,15,False,False,False,0,0,5.37E+16,6.42E+06,0,0,0,,0,,,,Sandstone
2016,br_graphite,16,False,False,False,0,0,4.00E+18,1.95E+07,0,0,0,,0,,,,Graphite
2017,br_quartz,17,False,False,False,0,0,1.22E+20,5.95E+07,0,0,0,,0,,,,Quartz
2018,br_rock,18,False,False,False,0,0,3.01E+21,1.83E+08,0,0,0,,0,,,,Rock
2019,br_concrete,19,False,False,False,0,0,2.19E+23,5.69E+08,0,0,0,,0,,,,Concrete
2020,br_copper,20,False,False,False,0,0,1.12E+25,1.78E+09,0,0,0,,0,,,,Copper
2021,br_bronze,21,False,False,False,0,0,5.68E+26,5.58E+09,0,0,0,,0,,,,Bronze
2022,br_iron,22,False,False,False,0,0,5.00E+28,1.76E+10,0,0,0,,0,,,,Iron
2023,br_steel,23,False,False,False,0,0,3.61E+30,5.60E+10,0,0,0,,0,,,,Steel
2024,br_tungsten,24,False,False,False,0,0,1.78E+32,1.79E+11,0,0,0,,0,,,,Tungsten
2025,br_titanium,25,False,False,False,0,0,1.06E+34,5.75E+11,0,0,0,,0,,,,Titanium
2026,br_graphene,26,False,False,False,0,0,5.59E+35,1.86E+12,0,0,0,,0,,,,Graphene
2027,br_cobalt,27,False,False,False,0,0,4.00E+37,6.02E+12,0,0,0,,0,,,,Cobalt
2028,br_chromoly,28,False,False,False,0,0,3.33E+39,1.96E+13,0,0,0,,0,,,,Chromoly
2029,br_obsidian,29,False,False,False,0,0,3.00E+41,6.43E+13,0,0,0,,0,,,,Obsidian
