Level,CountNormal,SpellBookNormal,CountHeroic,SpellBookHeroic,CountEpic,SpellBookEpic,CountLegendary,SpellBookLegenday,MysticMold,MysticToken,MysticPrismCard,CountNwNormal,WorldCrystalNormal,CountNwHeroic,WorldCrystalHeroic,CountNwEpic,WorldCrystalEpic,CountNwLegendary,WorldCrystalLegenday,CountNwGolden,SpellBookGolden
1,1,0,1,0,1,0,1,0,10,2,5,1,0,1,0,1,0,1,0,1,0
2,5,100,4,200,3,300,2,500,20,4,6,5,100,3,150,2,200,2,300,2,500
3,10,200,6,400,3,600,2,1000,30,6,7,10,150,5,300,2,400,2,600,2,1000
4,15,300,8,600,4,1000,3,2000,40,8,8,15,200,7,450,3,600,3,1000,3,2000
5,20,400,10,800,5,1500,3,3000,50,10,9,20,250,9,600,3,800,3,1500,3,3000
6,25,500,12,1000,5,2000,3,4000,60,12,10,25,300,11,750,4,1000,3,2000,3,4000
7,30,625,14,1250,6,2500,4,5000,70,14,12,30,400,13,900,5,1500,3,2500,4,5000
8,35,750,16,1500,7,3000,4,6000,80,16,14,35,500,15,1100,5,2000,3,3000,4,6000
9,40,875,18,1750,7,4000,4,8000,90,18,17,40,650,17,1300,5,2500,4,4000,4,8000
10,45,1000,20,2000,8,5000,5,10000,100,20,20,45,800,20,1500,6,3000,5,5000,5,10000
