Id,Target,Name,Sort,UpgradeLevel,Type,ValueType,Value,ValueUp,ValueUpType,CostType,CostId,Cost,CostUp,CostUpType,ExtraCostType,ExtraCostId,ExtraCost,ExtraCostUp,English
1,0,cosmic_dial_expand,4,7,CosmicDial,Add,1.0,0,Add,MagicClock,1,10,10.0,Add,0,0,0,0,
2,0,cosmic_dial_tick_1,5,11,CosmicDialTick,Multiply,1.07,0,Multiply,MagicClock,0,1,1.0,Add,0,0,0,0,
3,0,cosmic_dial_tick_2,6,11,CosmicDialTick,Multiply,1.07,0,Multiply,Rune,0,250000,250000.0,Add,0,0,0,0,
4,0,cosmic_dial_tick_3,7,11,CosmicDialTick,Multiply,1.07,0,Multiply,TimeCrystal,0,1,1.5,Multiply,0,0,0,0,
101,25001,lb_engineering,10,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Engineering
102,25002,lb_power,11,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Power
103,25003,lb_authority,12,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Authority
104,25004,lb_divinity,13,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Divinity
105,25005,lb_golden,14,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Golden
106,25006,lb_science,15,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Science
107,25007,lb_weapon,16,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Weapon
108,25008,lb_soul,17,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Soul
109,25009,lb_strengthening,18,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Strengthening
110,25010,lb_battle,19,100,0,Percent,2.0,2.0,Add,TimeCrystal,0,10,1.35,Multiply,MagicClock,0,1,0,Discipline: Battle
