Id,Name,IncludeAllUpper,Cost,CostUp,CostUpPow,English,Description
16,rk_silver,False,3.33E+40,2.5,1.01,Silver,
17,rk_gold,False,1.42E+43,2.5,1.01,Gold,
18,rk_diamond,False,1.43E+46,2.5,1.01,Diamond,
19,rk_obsidian,False,2.17E+49,2.5,1.01,Obsidian,
20,rk_mithril,False,1.11E+53,2.5,1.01,Mythril,
21,rk_ori,False,1.02E+57,2.5,1.01,Orichalcum,
22,rk_crystal,False,1.29E+62,2.5,1.01,Crystal,
23,rk_prism,False,1.17E+68,2.5,1.01,Prism,
24,rk_scopic,False,7.14E+73,2.5,1.01,Kaleidoscope,
25,rk_thunder,False,1.22E+80,2.5,1.01,Lightning,
26,rk_tornado,False,5.04E+85,2.5,1.01,Tornado,
27,rk_volcano,False,1.26E+92,2.5,1.01,Volcano,
28,rk_moon,False,3.66E+98,2.5,1.01,Moon,
29,rk_comet,False,2.56E+105,2.5,1.01,Comet,
30,rk_star,False,3.83E+113,2.5,1.01,Star,
31,rk_nova,False,1.19E+121,2.5,1.01,Nova,
32,rk_supernova,False,2.78E+128,2.5,1.01,Supernova,
33,rk_hypernova,False,1.30E+135,2.5,1.01,Hypernova,
34,rk_blackhole,False,4.84E+142,2.5,1.01,Black Hole,
35,rk_whitehole,False,2.83E+150,2.5,1.01,White Hole,
36,rk_quasar,False,9.23E+158,2.5,1.01,Quasar,
37,rk_star_cluster,False,5.50E+168,2.5,1.01,Star Cluster,
38,rk_galaxy,False,5.08E+179,2.5,1.01,Galaxy,
39,rk_galaxy_cluster,False,1.13E+193,2.5,1.01,Galaxy Cluster,
40,rk_big_bang,False,4.08E+203,2.5,1.01,Big Bang,
41,rk_universe,False,5.47E+218,2.5,1.01,Universe,
42,rk_multiverse,False,1.78E+228,2.5,1.01,Multiverse,
43,rk_demigod,False,5.74E+248,2.5,1.01,Demigod,
44,rk_ascended,False,5.89E+268,2.5,1.01,Ascended,
45,rk_incarnation,False,1.88E+289,2.5,1.01,Incarnation,
46,rk_heracles,False,6E+341,2.625,1.01,Heracles,
47,rk_perseus,False,2.5E+380,2.75,1.01,Perseus,
48,rk_theseus,False,8E+418,2.875,1.01,Theseus,
49,rk_odysseus,False,5.5E+461,3.0,1.01,Odysseus,
50,rk_loki,False,1E+510,3.125,1.01,Loki,
51,rk_thor,False,7E+542,3.25,1.01,Thor,
52,rk_ares,False,4.5E+588,3.375,1.01,Ares,
53,rk_hades,False,3E+623,3.5,1.01,Hades,
54,rk_zeus,False,5E+658,3.625,1.01,Zeus,
55,rk_god,False,6E+710,3.75,1.01,God,
56,rk_true_god,False,1.5E+746,3.875,1.01,True God,
57,rk_prime_god,False,4E+782,4.0,1.01,Prime God,
58,rk_odin,False,2.5e842,4.0,1.01,Odin,
59,rk_olorun,False,5e878,4.0,1.01,Olorun,
60,rk_viracocha,False,2.5e914,4.0,1.01,Viracocha,
61,rk_osiris,False,7.5e966,4.0,1.01,Osiris,
62,rk_ra,False,3.5e1003,4.0,1.01,Ra,
63,rk_horus,False,1e1041,4.0,1.01,Horus,
64,rk_enki,False,3e1097,4.0,1.01,Enki,
65,rk_enlil,False,8e1147,4.0,1.01,Enlil,
66,rk_anu,False,6e1177,4.0,1.01,Anu,
67,rk_primordial_god,False,2.5e1255,4.0,1.01,Primordial God,
68,rk_chaos_god,False,9e1308,4.0,1.01,Chaos God,
69,rk_cosmic_god,False,1e1363,4.0,1.01,Cosmic God,
70,rk_dimension_god,False,4e1473,4.0,1.01,Dimensional God,
71,rk_omni_god,False,2.5e1548,4.0,1.01,Omni God,
72,rk_overall_god,False,6e1624,4.0,1.01,Overall God,
73,rk_point,True,3e1790,4.0,1.01,Point,
2025,br_titanium,False,3.33E+38,2.5,1.01,Titanium,
2026,br_graphene,False,6.88E+39,2.5,1.01,Graphene,
2027,br_cobalt,False,8.09E+41,2.5,1.01,Cobalt,
2028,br_chromoly,False,1.43E+44,2.5,1.01,Chromoly,
2029,br_obsidian,False,5.56E+45,2.5,1.01,Obsidian,
2030,br_ether,False,1.97E+48,2.5,1.01,Etherium,
2031,br_mithril,False,1.11E+51,2.5,1.01,Mythril,
2032,br_adamantium,False,1.06E+53,2.5,1.01,Adamantium,
2033,br_ori,False,2.83E+56,2.5,1.01,Orichalcum,
2034,br_crystal,False,1.29E+60,2.5,1.01,Crystal,
2035,br_dragonite,False,1.23E+63,2.5,1.01,Dragonite,
2036,br_spectrium,False,2.15E+67,2.5,1.01,Spectrium,
2037,br_mirror,False,7.14E+71,2.5,1.01,Mirror Stone,
2038,br_charm,False,9.34E+74,2.5,1.01,Charm Stone,
2039,br_thunder,False,1.49E+79,2.5,1.01,Lightning Stone,
2040,br_resonance,False,5.04E+83,2.5,1.01,Resonance Stone,
2041,br_lava,False,7.96E+86,2.5,1.01,Lava,
2042,br_gaiarium,False,3.50E+91,2.5,1.01,Gaiarium,
2043,br_meteor,False,3.66E+96,2.5,1.01,Meteor,
2044,br_dawn,False,9.69E+99,2.5,1.01,Dawn Stone,
2045,br_mantle,False,3.71E+105,2.5,1.01,Mantle,
2046,br_planet_core,False,3.83E+111,2.5,1.01,Planet Core,
2047,br_starlight,False,2.14E+115,2.5,1.01,Night Sky Stone,
2048,br_starnite,False,4.37E+120,2.5,1.01,Starnite,
2049,br_mysterium,False,2.78E+126,2.5,1.01,Mysterium,
2050,br_quantum,False,6.01E+129,2.5,1.01,Quantum Stone,
2051,br_supernite,False,9.07E+134,2.5,1.01,Supernite,
2052,br_dark,False,4.84E+140,2.5,1.01,Dark Stone,
2053,br_gravitium,False,3.70E+144,2.5,1.01,Gravitium,
2054,br_teleportium,False,2.89E+150,2.5,1.01,Teleportium,
2055,br_absolute,False,9.23E+156,2.5,1.01,Absolute Stone,
2056,br_destroy,False,7.13E+161,2.5,1.01,Wrecking Stone,
2057,br_stellarium,False,2.73E+169,2.5,1.01,Stellarium,
2058,br_galaxy,False,5.08E+177,2.5,1.01,Galaxy Stone,
2059,br_cosmonite,False,6.43E+183,2.5,1.01,Cosmonite,
2060,br_exceedium,False,4.52E+190,2.5,1.01,Exceedium,
2061,br_expansion,False,2.00E+197,2.5,1.01,Expansion Stone,
2062,br_beginning,False,1.50E+204,2.5,1.01,Origin Stone,
2063,br_singularitium,False,3.00E+211,2.5,1.01,Singularitium,
2064,br_universe,False,5.00E+218,2.5,1.01,Universe Stone,
