Id,Name,Sort,X,Y,Circle,Number,Left,Right,Up,Down,IsExpansion,Grade,TypeList,TargetList,ValueTypeList,ValueList
16536,A-4,104,0,0,5,36,False,True,False,True,True,Common,Gold,0,Multiply,8.0
16537,A-3,103,1,0,5,37,True,True,False,False,True,Common,Gold,0,Multiply,8.0
16538,A-2,102,2,0,5,38,True,False,False,True,True,Common,Gold,0,Multiply,8.0
16539,B-L3,203,3,0,5,39,False,True,False,True,True,Common,ResearchCostDown,0,Divide,100.0
16540,B-L4,204,4,0,5,40,True,True,False,False,True,Common,ResearchCostDown,0,Divide,100.0
16501,B-5,255,5,0,5,1,True,True,False,True,True,Common,"ResearchCostDown, WeaponEnhanceCostDown","0, 0","Divide, Divide","100.0, 100.0"
16502,B-R4,214,6,0,5,2,True,True,False,False,True,Common,WeaponEnhanceCostDown,0,Divide,100.0
16503,B-R3,213,7,0,5,3,True,False,False,True,True,Common,WeaponEnhanceCostDown,0,Divide,100.0
16504,C-6,306,8,0,5,4,False,True,False,True,True,Common,Power,0,Multiply,30.0
16505,C-5,305,9,0,5,5,True,True,False,False,True,Common,Power,0,Multiply,30.0
16506,C-4,304,10,0,5,6,True,False,False,True,True,Common,Power,0,Multiply,12.0
16535,A-5,105,0,1,5,35,False,False,True,True,True,Common,Gold,0,Multiply,20.0
16429,A-EX,199,1,1,4,29,False,False,False,True,True,Legendary,"Gold, RankPowerDown","0, 0","Multiply, Divide","50.0, 100.0"
16430,A-1,101,2,1,4,30,False,False,True,True,True,Common,Gold,0,Multiply,8.0
16431,B-L2,202,3,1,4,31,False,True,True,False,True,Common,ResearchCostDown,0,Divide,50.0
16432,B-L1,201,4,1,4,32,True,False,False,True,True,Common,ResearchCostDown,0,Divide,50.0
16401,B-EX,299,5,1,4,1,False,False,True,False,True,Legendary,"ResearchCostDown, WeaponEnhanceCostDown, RankPowerDown","0, 0, 0","Divide, Divide, Divide","250.0, 250.0, 100.0"
16402,B-R1,211,6,1,4,2,False,True,False,True,True,Common,WeaponEnhanceCostDown,0,Divide,50.0
16403,B-R2,212,7,1,4,3,True,False,True,False,True,Common,WeaponEnhanceCostDown,0,Divide,50.0
16404,C-7,307,8,1,4,4,False,True,True,False,True,Common,Power,0,Multiply,30.0
16405,C-EX,399,9,1,4,5,True,False,False,False,True,Legendary,"Power, RankPowerDown","0, 0","Multiply, Divide","75.0, 100.0"
16507,C-3,303,10,1,5,7,False,False,True,True,True,Common,Power,0,Multiply,12.0
16534,A-6,106,0,2,5,34,False,True,True,False,True,Common,Gold,0,Multiply,12.0
16428,A-7,107,1,2,4,28,True,False,True,False,True,Common,Gold,0,Multiply,20.0
16322,,0,2,2,3,22,False,True,True,True,False,Rare,"SciencePoint, Ether","0, 0","Percent, Percent","200.0, 25.0"
16323,,0,3,2,3,23,True,True,False,False,False,Common,"WeaponEnhanceCostDown, KeepResearch","0, 0","Divide, Add","1000.0, 5.0"
