Level,Bonus,SoulTarget,SoulCost,SoulCostUp,MindTarget,MindCost,MindCostUp,TruthTarget,TruthCost,TruthCostUp,EnlightenCost,CrystalEpic,CrystalLegend,CrystalMystic
1,2,10000000,1e341,100.0,10000000,1.00E+02,1.1,10000000,5,0,50,1,3,9
2,4,20000000,1e461,100.0,20000000,5.00E+02,1.1,20000000,5,0,55,2,6,18
3,8,30000000,1e588,100.0,30000000,1.50E+03,1.1,30000000,5,0,60,3,9,27
4,32,40000000,1e710,100.0,40000000,7.50E+03,1.1,40000000,6,0,65,5,15,45
5,128,50000000,1e842,100.0,50000000,3.50E+04,1.1,50000000,6,0,70,7,21,63
6,512,60000000,1e966,100.0,60000000,1.50E+05,1.1,60000000,6,0,75,10,30,90
7,2500,70000000,1e1097,100.0,70000000,5.00E+07,1.1,70000000,7,0,80,15,45,135
8,15000,80000000,1e1255,100.0,80000000,7.50E+09,1.1,80000000,7,0,85,20,60,180
9,125000,90000000,1e1473,100.0,90000000,8.00E+11,1.1,90000000,7,0,90,30,90,270
10,2500000,100000000,1e1790,100.0,100000000,2.00E+17,1.1,100000000,10,0,95,50,150,450
