Id,Sort,UnlockRank,ArtifactCount,Artifact1,Grade1,Artifact2,Grade2,Artifact3,Grade3,Artifact4,Grade4,Artifact5,Grade5,TypeList,ValueTypeList,ValueList
1,3,0,2,15001,Heroic,15002,Heroic,0,0,0,0,0,0,Gold,Percent,100.0
2,4,0,3,15004,Heroic,15007,Heroic,15010,Heroic,0,0,0,0,"Power, WeaponEnhanceCostDown","Percent, Percent","100.0, -80.0"
3,5,0,2,15012,Epic,15011,Heroic,0,0,0,0,0,0,"BlockHpDown, RankPowerDown","Divide, Divide","5.0, 5.0"
4,6,0,2,15015,Epic,15002,Heroic,0,0,0,0,0,0,"CriDmg, SciencePoint","Percent, Percent","100.0, 50.0"
5,7,0,2,15003,Epic,15015,Epic,0,0,0,0,0,0,"PrestigeBonus, SoulEnhanceMaxLevelUp","Percent, Add","200.0, 1.0"
6,8,0,4,15011,Epic,15012,Epic,15001,Heroic,15007,Heroic,0,0,"Gold, BlockHpDown","Multiply, Divide","1.77, 3.77"
7,9,0,4,15003,Epic,15007,Epic,15006,Heroic,15013,Heroic,0,0,"RankPowerDown, SciencePoint","Percent, Percent","-33.0, 99.0"
21,10,0,5,15004,Epic,15010,Epic,15012,Epic,15005,Heroic,15015,Heroic,"AllWeaponDmg, Ether","Percent, Percent","66.0, 33.0"
8,11,0,5,15002,Epic,15007,Epic,15008,Epic,15011,Epic,15013,Epic,"BattleHp, BattleAtk","Percent, Percent","100.0, 100.0"
9,12,43,3,15011,Legendary,15008,Heroic,15013,Heroic,0,0,0,0,"RankPowerDown, DStone","Percent, Percent","-90.0, 10.0"
10,13,43,3,15001,Legendary,15006,Epic,15009,Heroic,0,0,0,0,"Gold, SoulEnhanceMaxLevelUp","Percent, Add","300.0, 1.0"
11,14,43,3,15007,Legendary,15003,Epic,15010,Heroic,0,0,0,0,"ResearchCostDown, WeaponEnhanceCostDown, SciencePoint","Percent, Percent, Percent","-90.0, -90.0, 100.0"
12,15,43,3,15012,Legendary,15014,Epic,15005,Heroic,0,0,0,0,"PrestigeBonus, BattleHp, BattleAtk","Percent, Percent, Percent","300.0, 100.0, 100.0"
13,16,43,4,15010,Legendary,15004,Epic,15015,Epic,15002,Heroic,0,0,"AllWeaponDmg, BattleAtk","Percent, Percent","250.0, 75.0"
14,17,43,4,15014,Legendary,15002,Epic,15009,Epic,15008,Heroic,0,0,"BattleHp, PrestigeBonus, SoulEnhanceMaxLevelUp","Percent, Percent, Add","100.0, 200.0, 1.0"
15,18,43,5,15006,Legendary,15002,Epic,15010,Epic,15005,Heroic,15015,Heroic,"Power, SciencePoint, DStone","Percent, Percent, Percent","500.0, 100.0, 5.0"
16,19,43,4,15004,Legendary,15001,Epic,15006,Epic,15008,Epic,0,0,"Gold, Power, SciencePoint","Percent, Percent, Percent","333.0, 333.0, 111.0"
17,20,43,4,15005,Legendary,15015,Legendary,15010,Heroic,15011,Heroic,0,0,"BlockHpDown, DivineBeastHpDown, AllWeaponDmg","Divide, Divide, Percent","10.0, 10.0, 500.0"
18,21,43,4,15003,Legendary,15011,Legendary,15009,Epic,15012,Epic,0,0,"SuperCriDmg, PrestigeBonus, DStone","Multiply, Multiply, Percent","6.0, 6.0, 10.0"
19,22,43,3,15001,Legendary,15005,Legendary,15013,Legendary,0,0,0,0,"Power, RankPowerDown, SciencePoint","Percent, Divide, Percent","500.0, 5.0, 300.0"
