Id,ItemGameMode,ItemType,ItemId,ItemSubId,ItemGrade,ItemTag,ItemCount
1,0,Rune,0,0,0,,1000
2,0,Rune,0,0,0,,5000
3,0,Rune,0,0,0,,25000
10,0,Rune,0,0,0,,1000
20,0,Rune,0,0,0,,2000
50,0,BoosterPoint,0,0,0,,250
51,0,Rune,0,0,0,,1000
51,Main,Ether,0,0,0,,500
51,Main,SpellBook,0,0,0,,100
52,0,BoosterPoint,0,0,0,,1250
53,0,Rune,0,0,0,,5000
53,Main,Ether,0,0,0,,2500
53,Main,SpellBook,0,0,0,,500
55,0,BoosterPoint,0,0,0,,3750
56,0,Rune,0,0,0,,15000
56,Main,Ether,0,0,0,,7500
56,Main,SpellBook,0,0,0,,1500
54,0,Rune,0,0,0,,10000
54,0,MagicClock,0,0,0,,15
54,Main,SpellBook,0,0,0,,250
57,0,Rune,0,0,0,,50000
57,0,MagicClock,0,0,0,,75
57,Main,SpellBook,0,0,0,,1250
30,0,Rune,0,0,0,,500
30,Main,Ether,0,0,0,,250
30,Main,SpellBook,0,0,0,,100
31,0,BoosterPoint,0,0,0,,250
32,0,Rune,0,0,0,,2500
32,Main,Ether,0,0,0,,1250
32,Main,SpellBook,0,0,0,,500
33,0,BoosterPoint,0,0,0,,1250
34,0,Rune,0,0,0,,7500
34,Main,Ether,0,0,0,,3750
34,Main,SpellBook,0,0,0,,1500
35,0,BoosterPoint,0,0,0,,3750
40,0,Rune,0,0,0,,1500
40,Main,Ether,0,0,0,,1000
40,Main,SpellBook,0,0,0,,550
40,Main,PrismCrystal,0,0,0,,250
41,0,Rune,0,0,0,,7500
41,Main,Ether,0,0,0,,5000
41,Main,SpellBook,0,0,0,,2750
41,Main,PrismCrystal,0,0,0,,1250
42,0,Rune,0,0,0,,22500
42,Main,Ether,0,0,0,,15000
42,Main,SpellBook,0,0,0,,8250
42,Main,PrismCrystal,0,0,0,,3750
60,0,Rune,0,0,0,,1000
60,Main,SpellBook,0,0,0,,150
61,0,Rune,0,0,0,,5000
61,Main,SpellBook,0,0,0,,750
63,0,Rune,0,0,0,,15000
63,Main,SpellBook,0,0,0,,2250
62,0,Rune,0,0,0,,15000
62,0,Map,0,0,0,,25
62,Main,SpellBook,0,0,0,,550
64,0,Rune,0,0,0,,75000
64,0,Map,0,0,0,,125
64,Main,SpellBook,0,0,0,,2750
70,0,Blessing,0,0,0,,1
70,Main,SpellBook,0,0,0,,150
71,0,Blessing,0,0,0,,5
71,Main,SpellBook,0,0,0,,750
72,0,Blessing,0,0,0,,15
72,Main,SpellBook,0,0,0,,2250
80,0,RuinShard,0,0,0,,35
80,0,ExStar,0,0,0,,1
80,Main,PrismCrystal,0,0,0,,1500
81,0,RuinShard,0,0,0,,175
81,0,ExStar,0,0,0,,5
81,Main,PrismCrystal,0,0,0,,7500
82,0,RuinShard,0,0,0,,525
82,0,ExStar,0,0,0,,15
82,Main,PrismCrystal,0,0,0,,22500
90,Main,PrismCrystal,0,0,0,,2500
90,Main,SpellBook,0,0,0,,1500
91,Main,PrismCrystal,0,0,0,,12500
91,Main,SpellBook,0,0,0,,7500
92,Main,PrismCrystal,0,0,0,,37500
92,Main,SpellBook,0,0,0,,22500
100,Main,CardTicket,2,0,0,,1
100,Main,PrismStone,0,0,0,,1
120,0,Rune,0,0,0,,30000
120,0,Blessing,0,0,0,,1
120,0,Map,0,0,0,,3
120,Main,SpellBook,0,0,0,,200
121,0,Rune,0,0,0,,150000
121,0,Blessing,0,0,0,,5
121,0,Map,0,0,0,,15
121,Main,SpellBook,0,0,0,,1000
122,0,Rune,0,0,0,,450000
122,0,Blessing,0,0,0,,15
122,0,Map,0,0,0,,45
122,Main,SpellBook,0,0,0,,3000
123,0,Rune,0,0,0,,300000
123,0,Scroll,0,0,0,,5
123,Main,SpellBook,0,0,0,,1500
124,0,Rune,0,0,0,,1500000
124,0,Scroll,0,0,0,,25
124,Main,SpellBook,0,0,0,,7500
160,Main,PrismCrystal,0,0,0,,750
160,Main,SpellBook,0,0,0,,150
161,Main,PrismCrystal,0,0,0,,3750
161,Main,SpellBook,0,0,0,,750
162,Main,PrismCrystal,0,0,0,,11250
162,Main,SpellBook,0,0,0,,2250
110,0,DShard,0,0,0,,75
110,Main,PrismStone,0,0,0,,1
111,0,DShard,0,0,0,,375
111,Main,PrismStone,0,0,0,,5
112,0,DShard,0,0,0,,1125
112,Main,PrismStone,0,0,0,,15
130,Main,PrismCrystal,0,0,0,,2500
130,Main,PrismStone,0,0,0,,2
130,Main,SpellBook,0,0,0,,2000
131,Main,PrismCrystal,0,0,0,,12500
131,Main,PrismStone,0,0,0,,10
131,Main,SpellBook,0,0,0,,10000
140,0,RuinShard,0,0,0,,25
140,Main,DShard,0,0,0,,50
141,0,RuinShard,0,0,0,,125
141,Main,DShard,0,0,0,,250
150,0,CollapseShard,0,0,0,,20
150,Main,RuinStone,0,0,0,,1
150,Main,DStar,0,0,0,,1
151,0,CollapseShard,0,0,0,,100
151,Main,RuinStone,0,0,0,,5
151,Main,DStar,0,0,0,,5
