Id,NoAnimation,Mode,IsSelection,BonusRewardStack,BonusRewardId,ReplacedName,NameArgument,ReplacedIcon,IconBackground,AlertText,English
card,False,Main,False,50,rw_main_card_ticket_legend_gacha,,,,0,,Card
card_epic,False,Main,False,0,,,,,0,,
card_legend,False,Main,False,5,rw_main_card_ticket_legend_select,,,,0,,
card_legend_select,False,Main,True,0,,,,,0,,
nw_card,False,NewWorld,False,50,,,,,0,,
nw_card_epic,False,NewWorld,False,0,,,,,0,,
nw_card_legend,False,NewWorld,False,5,,,,,0,,
nw_card_legend_select,False,NewWorld,True,0,,,,,0,,
prism,False,Main,False,50,rw_prism_bonus,,,,0,,
item_rare,True,Main,False,0,,,,gacha_item,Rare,,
item_heroic,True,Main,False,0,,,,gacha_item,Heroic,,
item_epic,True,Main,False,0,,,,gacha_item,Epic,,
item_legend,True,Main,False,0,,,,gacha_item,Legendary,,
item_mystic,True,Main,False,0,,,,gacha_item,Mystic,,
artifact_common,True,Main,False,0,,,,gacha_artifact,Common,,
artifact_superior,True,Main,False,0,,,,gacha_artifact,Superior,,
artifact_rare,True,Main,False,0,,,,gacha_artifact,Rare,,
artifact_hero,True,Main,False,0,,,,gacha_artifact,Heroic,,
artifact_hero_plus,True,Main,False,0,,,,gacha_artifact,HeroicPlus,,
artifact_epic,True,Main,False,0,,,,gacha_artifact,Epic,,
artifact_epic_plus,True,Main,False,0,,,,gacha_artifact,EpicPlus,,
artifact_legend,True,Main,False,0,,,,gacha_artifact,Legendary,,
artifact_legend_plus,True,Main,False,0,,,,gacha_artifact,LegendaryPlus,,
artifact_legend_plus2,True,Main,False,0,,,,gacha_artifact,LegendaryPlus2,,
artifact_mystic,True,Main,False,0,,,,gacha_artifact,Mystic,,
artifact_mystic_plus,True,Main,False,0,,,,gacha_artifact,MysticPlus,,
artifact_mystic_plus2,True,Main,False,0,,,,gacha_artifact,MysticPlus2,,
d_gear_rare,True,Main,False,0,,,,gacha_d_gear,Rare,,
d_gear_hero,True,Main,False,0,,,,gacha_d_gear,Heroic,,
d_gear_hero_plus,True,Main,False,0,,,,gacha_d_gear,HeroicPlus,,
d_gear_epic,True,Main,False,0,,,,gacha_d_gear,Epic,,
d_gear_epic_plus,True,Main,False,0,,,,gacha_d_gear,EpicPlus,,
d_gear_legend,True,Main,False,0,,,,gacha_d_gear,Legendary,,
d_gear_legend_plus,True,Main,False,0,,,,gacha_d_gear,LegendaryPlus,,
d_gear_legend_plus2,True,Main,False,0,,,,gacha_d_gear,LegendaryPlus2,,
d_gear_mystic,True,Main,False,0,,,,gacha_d_gear,Mystic,,
d_gear_mystic_plus,True,Main,False,0,,,,gacha_d_gear,MysticPlus,,
d_gear_mystic_plus2,True,Main,False,0,,,,gacha_d_gear,MysticPlus2,,
divine_beast_ex,True,Main,False,0,,,,,0,,Divine Beast Awakening
ev_coin_prize,True,Main,False,7,rw_ev_coin,event_coin_exchange,,,0,,
ev_main_year_1_5_bottle_cap,True,Main,False,0,,event_bottle_cap,,,0,,
ev_main_2025_12_sp_pinball,True,Main,False,0,,event_wish,,,0,,
ev_main_2025_12_sp_wish_low,True,Main,False,0,,event_wish_reward_b,,,0,,
ev_main_2025_12_sp_wish_high,True,Main,False,0,,event_wish_reward_a,,,0,,
ev_main_2026_01_garden_seed,True,Main,False,0,,event_gardening,,,0,,
ev_main_2026_01_garden_gold_seed,True,Main,False,0,,event_gardening,,,0,,
ev_main_2026_02_sp_bingo,True,Main,False,0,,event_collect_chocolate,,,0,,
ev_main_2026_02_sp_find_heart_normal,True,Main,False,0,,event_heart_normal,,,0,,
ev_main_2026_02_sp_find_heart_gold,True,Main,False,0,,event_heart_gold,,,0,,
ev_main_2026_03_paper_flipping_normal,True,Main,False,0,,event_paper_normal,,,0,,
ev_main_2026_03_paper_flipping_gold,True,Main,False,0,,event_paper_gold,,,0,,
ev_main_2026_03_sp_miner,True,Main,False,0,,event_miner,,,0,,
ev_main_year_2_carve_normal,True,Main,False,0,,event_carve_normal,,,0,,
ev_main_year_2_carve_superior,True,Main,False,0,,event_carve_superior,,,0,,
ev_main_year_2_carve_rare,True,Main,False,0,,event_carve_rare,,,0,,
ev_main_year_2_carve_heroic,True,Main,False,0,,event_carve_heroic,,,0,,
ev_main_year_2_carve_epic,True,Main,False,0,,event_carve_epic,,,0,,
ev_main_year_2_find_statue_normal,True,Main,False,0,,event_statue_normal,,,0,,
ev_main_year_2_find_statue_gold,True,Main,False,0,,event_statue_gold,,,0,,
ev_main_2026_05_gift_stack_normal,True,Main,False,0,,event_stack_normal,,,0,,
ev_main_2026_05_gift_stack_gold,True,Main,False,0,,event_stack_gold,,,0,,
ev_main_2026_06_sp_goal_shot,True,Main,False,0,,event_goal_shot,,,0,,
ev_main_2026_06_sp_dribble_master_gold,True,Main,False,0,,event_dribble_master,,,0,,
ev_main_2026_07_scale_greed,True,Main,False,0,,event_scale_greed,,,0,,
ev_main_2026_07_ruins_exploration_gold,True,Main,False,0,,event_ruins_exploration,,,0,,
