Id,Mode,RewardMode,Type,Grade,ItemId,ItemSubId,ItemTag,Count,Chance,AlternativeReward,English
card,Main,Main,Card,Common,0,0,,1,37.5,rw_main_gacha_altar_common,Card
card,Main,Main,Card,Superior,0,0,,1,30.0,rw_main_gacha_altar_superior,Card
card,Main,Main,Card,Rare,0,0,,1,22.5,rw_main_gacha_altar_rare,Card
card,Main,Main,Card,Heroic,0,0,,1,7.5,rw_main_gacha_altar_heroic,Card
card,Main,Main,Card,Epic,0,0,,1,2.5,rw_main_gacha_altar_epic,Card
card_epic,Main,Main,Card,Epic,0,0,,1,100.0,rw_main_gacha_altar_epic,
card_legend,Main,Main,Card,Legendary,0,0,,1,100.0,rw_main_gacha_altar_legendary,
card_legend_select,Main,Main,Card,Legendary,0,0,,1,100.0,rw_main_gacha_altar_legendary,
nw_card,NewWorld,NewWorld,NwCard,Common,0,0,,1,37.5,rw_newworld_gacha_altar_common,
nw_card,NewWorld,NewWorld,NwCard,Superior,0,0,,1,30.0,rw_newworld_gacha_altar_superior,
nw_card,NewWorld,NewWorld,NwCard,Rare,0,0,,1,22.5,rw_newworld_gacha_altar_rare,
nw_card,NewWorld,NewWorld,NwCard,Heroic,0,0,,1,7.5,rw_newworld_gacha_altar_heroic,
nw_card,NewWorld,NewWorld,NwCard,Epic,0,0,,1,2.5,rw_newworld_gacha_altar_epic,
nw_card_epic,NewWorld,NewWorld,NwCard,Epic,0,0,,1,100.0,rw_newworld_gacha_altar_epic,
nw_card_legend,NewWorld,NewWorld,NwCard,Legendary,0,0,,1,100.0,rw_newworld_gacha_altar_legendary,
nw_card_legend_select,NewWorld,NewWorld,NwCard,Legendary,0,0,,1,100.0,rw_newworld_gacha_altar_legendary,
prism,Main,Main,CardMold,Mystic,0,0,,1,1.0,,
item_rare,Main,0,ConsumableItem,Rare,0,0,,1,100.0,,
item_heroic,Main,0,ConsumableItem,Heroic,0,0,,1,100.0,,
item_epic,Main,0,ConsumableItem,Epic,0,0,,1,100.0,,
