Id,Name,Rank,Sort,ReferType,ReferMultiplier,TypeList,ValueType,MaxLevel,Cost,CostUp,English,Description
11001,in_investment,1,3,AllResearchLevel,0.002,Gold,Multiply,1500,1.00E+01,1.15,Attract Investment,
11002,in_eco_friendly,2,4,AllWeaponEnhanceLevel,0.0005,Power,Multiply,1500,6.00E+01,1.15,Eco-friendly Development,
11003,in_real_estate,3,5,FieldMax,0.05,ResearchCostDown,Divide,1500,9.00E+01,1.15,Real Estate Trading,
11004,in_regression,5,6,ChallengeWallDistance,0.0002,AllWeaponDmg,Multiply,1500,3.00E+02,1.15,Regression Analysis,
11005,in_authority,7,7,Rank,0.1,WeaponEnhanceCostDown,Divide,1500,1.00E+03,1.15,Authorities,
11006,in_vip,10,8,AllCardLevel,0.05,RankPowerDown,Divide,1500,1.20E+03,1.15,VIP Card,
11007,in_monolith,15,9,AllSoulUpgradeLevel,0.0015,BlockHpDown,Divide,1500,3.30E+03,1.15,Construct Monolith,
11008,in_defense_cost,20,10,WeaponCount,0.15,Gold,Multiply,1500,4.00E+04,1.15,Defense Increase Costs,
11009,in_religion,25,11,Rank,0.1,PrestigeBonus,Multiply,1500,1.00E+05,1.15,Pioneer Faith,
11010,in_energy_revolution,30,12,ResearchTier,0.2,Power,Multiply,1500,3.50E+05,1.15,Energy Revolution,
11011,in_genetic_trait,40,13,AllDivineBeastLevel,0.1,WeaponEnhanceBonus,Multiply,1500,7.25E+06,1.15,Extract Genetic Trait,
11012,in_military_industry,50,14,AllResearchLevel,0.0015,WeaponEnhanceCostDown,Divide,1500,2.50E+07,1.15,Military Industry Support,
11013,in_empire_armada,60,15,ChallengeLicenceRank,0.03,AllWeaponDmg,Multiply,1500,4.50E+08,1.15,Imperial Fleet,
11014,in_colony,80,16,DevilOrderRank,0.05,RankPowerDown,Divide,1500,3.90E+10,1.15,Build Colony,
11015,in_planet_weapon,100,17,Rank,0.08,BlockHpDown,Divide,1500,3.00E+12,1.15,Planet Killer,
11016,in_stellar_monitor,120,18,AllInnovationResearchLevel,0.001,ResearchCostDown,Divide,1500,4.25E+13,1.15,Stellar Monitor,
11017,in_simulation,140,19,WarAIRank,0.04,WeaponEnhanceBonus,Multiply,1500,7.00E+14,1.15,Virtual Reality System,
11018,in_civilization,160,20,AllSoulEnhanceLevel,0.01,Gold,Multiply,1500,6.00E+15,1.15,Civilization Controller,
11019,in_galaxy_parliament,180,21,GoldenCubeRank,0.1,RankPowerDown,Divide,1500,5.00E+16,1.15,Galactic Council,
11020,in_singularity_control,200,22,ResearchTier,0.2,PrestigeBonus,Multiply,1500,4.00E+17,1.15,Soul Control,
11021,in_illuminati,225,23,TruthTreeUpgrade,0.02,Power,Multiply,1500,8.00E+18,1.15,Multiverse: Illuminati,
11022,in_dimension_office,250,24,DimensionRank,0.1,Gold,Multiply,1500,1.50E+20,1.15,Dimensional Management Bureau,
11023,in_pandora,300,25,DevilOrderRank,0.05,BlockHpDown,Divide,1500,2.50E+23,1.175,Pandora's Box,
11024,in_god_hand,350,26,ResearchTier,0.1,ResearchCostDown,Divide,1500,5.00E+27,1.2,Omnipotent Hand,
