Id,Tag,Grade,Type,ValueType,Value,Duration
8001,,Rare,FastMining,0,0,5400
8001,,Heroic,FastMining,0,0,10800
8001,,Epic,FastMining,0,0,21600
8001,,Legendary,FastMining,0,0,43200
8001,,Mystic,FastMining,0,0,172800
8002,,Rare,Gold,Multiply,2.0,1800
8002,,Heroic,Gold,Multiply,4.0,1800
8002,,Epic,Gold,Multiply,8.0,1800
8002,,Legendary,Gold,Multiply,16.0,1800
8002,,Mystic,Gold,Multiply,64.0,1800
8003,,Rare,Power,Multiply,2.0,1800
8003,,Heroic,Power,Multiply,4.0,1800
8003,,Epic,Power,Multiply,8.0,1800
8003,,Legendary,Power,Multiply,16.0,1800
8003,,Mystic,Power,Multiply,64.0,1800
8004,,Rare,AllWeaponDmg,Percent,25.0,1800
8004,,Heroic,AllWeaponDmg,Percent,50.0,3600
8004,,Epic,AllWeaponDmg,Percent,75.0,5400
8004,,Legendary,AllWeaponDmg,Percent,100.0,7200
8004,,Mystic,AllWeaponDmg,Percent,200.0,10800
8005,,Rare,AllWeaponSpd,Percent,15.0,1800
8005,,Heroic,AllWeaponSpd,Percent,30.0,3600
8005,,Epic,AllWeaponSpd,Percent,45.0,5400
8005,,Legendary,AllWeaponSpd,Percent,60.0,7200
8005,,Mystic,AllWeaponSpd,Percent,90.0,10800
8006,,Rare,AutoTap,Add,1.0,900
8006,,Heroic,AutoTap,Add,1.0,1800
8006,,Epic,AutoTap,Add,1.0,3600
8006,,Legendary,AutoTap,Add,1.0,7200
8006,,Mystic,AutoTap,Add,1.0,18000
8007,,Rare,BlockHpDown,Divide,2.0,1800
8007,,Heroic,BlockHpDown,Divide,4.0,1800
8007,,Epic,BlockHpDown,Divide,8.0,1800
8007,,Legendary,BlockHpDown,Divide,16.0,1800
8007,,Mystic,BlockHpDown,Divide,64.0,1800
8008,,Rare,FastSciencePoint,0,0,10800
8008,,Heroic,FastSciencePoint,0,0,21600
8008,,Epic,FastSciencePoint,0,0,43200
8008,,Legendary,FastSciencePoint,0,0,86400
8008,,Mystic,FastSciencePoint,0,0,345600
8009,,Rare,FastEther,0,0,21600
8009,,Heroic,FastEther,0,0,43200
8009,,Epic,FastEther,0,0,86400
8009,,Legendary,FastEther,0,0,172800
8009,,Mystic,FastEther,0,0,691200
18001,event_buff_cherry_blossom,0,Gold,Multiply,2.0,1800
18002,event_buff_cherry_blossom,0,Power,Multiply,2.0,1800
18003,event_buff_cherry_blossom,0,AllWeaponDmg,Multiply,2.0,1800
18004,event_buff_cherry_blossom,0,BlockHpDown,Divide,2.0,1800
