Id,Type,BonusId,Chance,UnlockRank,UnlockCost,UpgradeCost,UpgradeCostup,LevelBonusUp,LevelBonusUpUp,ValueType,ValueCommon,ValueRare,ValueEpic,ValueLegend
1,Gold,1,10.0,0,2000,2500,2500,2,2,Percent,4.0,8.0,20.0,80.0
2,Power,2,5.0,0,2000,2500,2500,2,2,Percent,4.0,8.0,20.0,80.0
3,WeaponEnhanceCostDown,3,5.0,13,1500,1500,1500,2,2,Divide,1.0,2.0,5.0,20.0
4,ResearchCostDown,4,5.0,13,1500,1500,1500,2,2,Divide,1.0,2.0,5.0,20.0
5,PrestigeBonus,5,10.0,14,2000,2500,2500,2,2,Percent,5.0,10.0,25.0,100.0
6,AllWeaponDmg,6,5.0,15,2000,2500,2500,2,2,Percent,2.0,4.0,10.0,40.0
7,CriDmg,7,5.0,16,2000,2500,2500,2,2,Percent,2.0,4.0,10.0,40.0
8,SuperCriDmg,8,5.0,16,2000,2500,2500,2,2,Percent,2.0,4.0,10.0,40.0
10,RankPowerDown,10,5.0,17,2500,3000,3000,2,2,Divide,1.0,2.0,5.0,20.0
11,BlockHpDown,11,10.0,18,2500,3000,3000,2,2,Divide,1.0,2.0,5.0,20.0
12,DivineBeastHpDown,12,10.0,18,2500,3000,3000,2,2,Divide,1.0,2.0,5.0,20.0
13,SciencePoint,13,10.0,19,3000,7500,7500,2,2,Percent,5.0,10.0,25.0,100.0
14,BattleHp,14,5.0,20,2500,5000,5000,2,2,Percent,2.0,4.0,10.0,40.0
15,BattleAtk,15,5.0,20,2500,5000,5000,2,2,Percent,2.0,4.0,10.0,40.0
16,Gold,1,10.0,31,50000,5000,5000,2,2,Percent,5.0,10.0,25.0,100.0
17,Power,2,10.0,31,50000,5000,5000,2,2,Percent,4.0,8.0,20.0,80.0
18,PrestigeBonus,5,10.0,31,50000,5000,5000,2,2,Percent,5.0,10.0,25.0,100.0
19,AllWeaponDmg,6,10.0,31,50000,5000,5000,2,2,Percent,2.0,4.0,10.0,40.0
20,WeaponEnhanceCostDown,3,5.0,43,1000000,25000,25000,2,2,Percent,1.0,2.0,5.0,20.0
21,ResearchCostDown,4,5.0,43,1000000,25000,25000,2,2,Percent,1.0,2.0,5.0,20.0
22,RankPowerDown,10,5.0,43,1000000,25000,25000,2,2,Percent,1.0,2.0,5.0,20.0
23,BlockHpDown,11,10.0,43,1000000,25000,25000,2,2,Percent,1.0,2.0,5.0,20.0
24,QuantumPoint,24,10.0,58,7500000,100000,100000,2,2,Percent,2.5,5.0,12.5,50.0
25,DestinyEnergy,25,10.0,61,7500000,100000,100000,2,2,Percent,2.5,5.0,12.5,50.0
