Id,GroupId,UnlockRank,Type,Subtype,IsSequential,Sort
10001,daily,0,GetMissionPoint,daily,False,4
10002,daily,0,Login,,True,5
10003,daily,0,FireBullet,,True,6
10004,daily,0,BreakBlock,,True,7
10005,daily,0,Research,,True,8
10006,daily,0,EnhanceWeapon,,True,9
10012,daily,43,ChallengeWall,,True,10
10013,daily,43,ChallengeChaos,,True,11
10007,daily,0,GetCard,,True,12
10008,daily,4,GetMiningReward,,True,13
10009,daily,0,ActiveBooster,,True,14
10010,daily,0,Ads,,True,15
10011,daily,0,Mileage,,True,16
10101,daily_epic,0,GetMissionPoint,daily_epic,False,18
10102,daily_epic,0,Login,,True,19
10103,daily_epic,0,ClearBoard,,True,20
10104,daily_epic,5,SoulUpgradeAndEnhance,,True,21
10105,daily_epic,0,LevelUpCard,,True,22
10106,daily_epic,5,Prestige,,True,23
10108,daily_epic,0,GetSupriseRewardAndBuff,,True,25
10109,daily_epic,0,UseItem,,True,26
10110,daily_epic,0,RefreshMileageShop,,True,27
10201,ach,0,Login,,True,29
10202,ach,0,FireBullet,,True,30
10203,ach,0,BreakBlock,,True,31
10204,ach,0,ClearBoard,,True,32
10205,ach,0,GetGold,,True,33
10206,ach,0,GetPower,,True,34
10207,ach,5,GetSoul,,True,35
10240,ach,12,GetEther,,True,36
10278,ach,43,GetEther,,True,37
10208,ach,0,Research,,True,38
10209,ach,0,EnhanceWeapon,,True,39
10210,ach,5,SoulUpgradeAndEnhance,,True,40
10211,ach,0,EpicUpgrade,,True,41
10212,ach,0,RankUp,,True,42
10213,ach,0,GetCard,,True,43
10214,ach,0,LevelUpCard,,True,44
10215,ach,4,GetMiningReward,,True,45
10216,ach,0,ActiveBooster,,True,46
10217,ach,5,Prestige,,True,47
10219,ach,0,GetSupriseRewardAndBuff,,True,49
10220,ach,0,UseItem,,True,50
10221,ach,0,RefreshMileageShop,,True,51
10222,ach,0,Ads,,True,52
10223,ach,0,IAP,,True,53
10225,ach,10,GetSciencePoint,,True,55
10230,ach,10,InnovationUpgrade,,True,56
10231,ach,10,InnovationWeaponUpgrade,,True,57
10232,ach,10,InnovationBrickUpgrade,,True,58
10233,ach,16,DevilOrderRankUpgrade,,True,59
10234,ach,16,DevilOrderBlockUpgrade,,True,60
10235,ach,18,DevilOrderDivineBeastUpgrade,,True,61
10236,ach,25,WarAIResearchUpgrade,,True,62
10237,ach,30,WarAISoulAltarUpgrade,,True,63
10238,ach,34,GoldenCubeDivineBeastUpgrade,,True,64
10239,ach,40,GoldenCubeInnovationUpgrade,,True,65
10250,ach,12,AchievedTruthTree,,True,66
10251,ach,12,CompleteMeditation,,True,67
10252,ach,19,GetArtifact,,True,68
10253,ach,19,MergeArtifact,,True,69
10254,ach,19,DissolveArtifact,,True,70
10255,ach,19,EternityCubeActivation,,True,71
10260,ach,22,Forge,,True,72
10261,ach,21,DivineBeastEx,,True,73
10277,ach,33,DivineBeastSurge,,True,74
10262,ach,36,GetTachyon,,True,75
10241,ach,43,GetDStone,,True,76
10281,ach,43,DimensionAllianceScan,,True,77
10264,ach,49,OracleBlessingCharge,,True,78
10265,ach,49,OracleRevelationUpgrade,,True,79
10266,ach,61,OracleDestinyUpgrade,,True,80
10279,ach,51,GetDFuel,,True,81
10285,ach,51,StarSignVoyageDistance,,True,82
10280,ach,51,GetTimeCrystal,,True,83
10263,ach,53,GetQuantumPoint,,True,84
10267,ach,53,QuantumUpgrade,,True,85
10268,ach,53,NetworkHubUpgrade,,True,86
10271,ach,58,RuneIncineration,,True,89
10272,ach,58,AshUpgrade,,True,90
10274,ach,58,GetDimensionalGear,,True,92
10275,ach,58,MergeDimensionalGear,,True,93
10276,ach,58,DissolveDimensionalGear,,True,94
10282,ach,58,GetCollapsePoint,,True,95
10283,ach,73,GetSEnergy,,True,96
10284,ach,73,SingularityUpgrade,,True,97
10301,pass_rank,0,AchievedRank,,False,100
10302,pass_rank_epic,0,AchievedRank,,False,101
10303,pass_rank_2,0,AchievedRank,,False,102
10304,pass_rank_epic_2,0,AchievedRank,,False,103
10305,pass_rank_3,0,AchievedRank,,False,104
10306,pass_rank_epic_3,0,AchievedRank,,False,105
10307,pass_rank_4,0,AchievedRank,,False,106
10308,pass_rank_epic_4,0,AchievedRank,,False,107
10309,pass_rank_5,0,AchievedRank,,False,108
10310,pass_rank_epic_5,0,AchievedRank,,False,109
10340,pass_rank_6,0,AchievedRank,,False,110
10341,pass_rank_epic_6,0,AchievedRank,,False,111
10311,pass_field,0,AchievedField,,False,113
10312,pass_field_epic,0,AchievedField,,False,114
10313,pass_field_2,0,AchievedField,,False,115
10314,pass_field_epic_2,0,AchievedField,,False,116
10315,pass_field_3,0,AchievedField,,False,117
10316,pass_field_epic_3,0,AchievedField,,False,118
10317,pass_field_4,0,AchievedField,,False,119
10318,pass_field_epic_4,0,AchievedField,,False,120
10319,pass_field_5,0,AchievedField,,False,121
10320,pass_field_epic_5,0,AchievedField,,False,122
10321,pass_field_6,0,AchievedField,,False,123
10322,pass_field_epic_6,0,AchievedField,,False,124
10351,traveler,0,LoginCount,,False,126
10352,traveler,0,AchievedRank,,True,127
10353,traveler,0,AchievedRank,,True,128
10354,traveler,0,AchievedRank,,True,129
10355,traveler,0,AchievedRank,,True,130
10356,traveler,0,AchievedRank,,True,131
10357,traveler,0,AchievedRank,,True,132
10358,traveler,0,AchievedField,,True,133
10359,traveler,0,AchievedField,,True,134
10360,traveler,0,AchievedField,,True,135
10361,traveler,0,AchievedField,,True,136
10362,traveler,0,AchievedField,,True,137
10363,traveler,0,AchievedField,,True,138
10364,traveler,0,FireBullet,,True,139
10365,traveler,0,FireBullet,,True,140
10366,traveler,0,FireBullet,,True,141
10367,traveler,0,BreakBlock,,True,142
10368,traveler,0,BreakBlock,,True,143
10369,traveler,0,BreakBlock,,True,144
10370,traveler,0,GetCard,,True,145
10371,traveler,0,GetCard,,True,146
10372,traveler,0,GetCard,,True,147
10373,traveler,0,GetCard,,True,148
10374,traveler,0,GetMiningReward,,True,149
10375,traveler,0,GetMiningReward,,True,150
10376,traveler,0,GetMiningReward,,True,151
10377,traveler,0,GetMiningReward,,True,152
10378,traveler,0,GetSupriseRewardAndBuff,,True,153
10379,traveler,0,GetSupriseRewardAndBuff,,True,154
10380,traveler,0,GetSupriseRewardAndBuff,,True,155
10381,traveler,0,GetSupriseRewardAndBuff,,True,156
10382,traveler,0,GetSupriseRewardAndBuff,,True,157
10383,traveler,0,UseItem,,True,158
10384,traveler,0,UseItem,,True,159
10385,traveler,0,UseItem,,True,160
10386,traveler,0,UseItem,,True,161
10387,traveler,0,UseItem,,True,162
10021,frontier,0,Login,,False,164
10022,frontier,0,AchievedRank,,True,165
10023,frontier,0,AchievedRank,,True,166
10024,frontier,0,AchievedRank,,True,167
10025,frontier,0,AchievedRank,,True,168
10026,frontier,0,AchievedRank,,True,169
10027,frontier,0,AchievedRank,,True,170
10028,frontier,0,AchievedField,,True,171
10029,frontier,0,AchievedField,,True,172
10030,frontier,0,AchievedField,,True,173
10031,frontier,0,AchievedField,,True,174
10032,frontier,0,AchievedField,,True,175
10033,frontier,0,AchievedField,,True,176
10034,frontier,0,ClearBoard,,True,177
10035,frontier,0,ClearBoard,,True,178
10036,frontier,0,ClearBoard,,True,179
10037,frontier,0,Forge,,True,180
10038,frontier,0,Forge,,True,181
10039,frontier,0,Forge,,True,182
10040,frontier,0,GetArtifact,,True,183
10041,frontier,0,GetArtifact,,True,184
10042,frontier,0,GetArtifact,,True,185
10043,frontier,0,MaxLevelDivineBeast,,True,186
10044,frontier,0,MaxLevelDivineBeast,,True,187
10045,frontier,0,MaxLevelDivineBeast,,True,188
10046,frontier,0,Mileage,,True,189
10047,frontier,0,Mileage,,True,190
10048,frontier,0,Mileage,,True,191
10049,frontier,0,Mileage,,True,192
10050,frontier,0,Mileage,,True,193
10051,frontier,0,UseMagicClock,,True,194
10052,frontier,0,UseMagicClock,,True,195
10053,frontier,0,UseMagicClock,,True,196
10054,frontier,0,UseMagicClock,,True,197
10055,frontier,0,UseMagicClock,,True,198
10401,attendance,0,Login,,True,200
10501,ch_licence,0,LicenceLevel,,False,202
10502,ch_licence,0,LicenceLevel,,False,203
10503,ch_dive,0,DimensionalDiveRank,,False,204
10504,ch_dive,0,DimensionalDiveDmgRank,,False,205
10505,ch_dive,0,DimensionalDiveGoldRank,,False,206
10506,ch_dive,0,DimensionalDivePowerRank,,False,207
10507,ch_dive,0,DimensionalDiveSoulRank,,False,208
10508,ch_dive,0,DimensionalDiveSciencePointRank,,False,209
10509,ch_dive,0,DimensionalDiveDStoneRank,,False,210
10510,ch_dive,0,DimensionalDiveHardRank,,False,211
10511,ch_dive,0,DimensionalDiveHardDmgRank,,False,212
10512,ch_dive,0,DimensionalDiveHardGoldRank,,False,213
10513,ch_dive,0,DimensionalDiveHardPowerRank,,False,214
10514,ch_dive,0,DimensionalDiveHardSoulRank,,False,215
10515,ch_dive,0,DimensionalDiveHardSciencePointRank,,False,216
10516,ch_dive,0,DimensionalDiveHardDStoneRank,,False,217
10601,sage,0,AchievedRank,,True,219
10602,sage,0,AchievedField,,True,220
10603,sage,0,SoulAltarLevel,,True,221
10604,sage,0,LicenceLevel,,True,222
10605,sage,0,ChallengeWallDistance,,True,223
10606,sage,0,ScienceRank,,True,224
10607,sage,16,DevilOrderRank,,True,225
10608,sage,25,WarAIRank,,True,226
10609,sage,34,GoldenCubeRank,,True,227
10610,sage,0,MaxBoostLevel,,True,228
10611,sage,0,MaxCardLevel,,True,229
10612,sage,0,MaxLevelDivineBeast,,True,230
10613,sage,19,GetArtifactLegend,,True,231
10618,sage,31,GetArtifactMystic,,True,232
10614,sage,19,EternityCubeActivation,,True,233
10615,sage,22,ForgeLevel,,True,234
10616,sage,43,DimensionRank,,True,236
10617,sage,44,EnlightenLevel,,True,237
10621,sage,44,AscensionLevel,,True,238
10619,sage,31,MysticCard,,True,239
10620,sage,36,SearchZoneCount,,True,240
10901,wk_event,0,GetMissionPoint,wk_event,False,247
10902,wk_event,0,FireBullet,,True,248
10903,wk_event,0,BreakBlock,,True,249
10904,wk_event,0,GetCard,,True,250
10905,wk_event,0,GetMiningReward,,True,251
10906,wk_event,0,GetSupriseRewardAndBuff,,True,252
