Id,Name,Sort,TypeList,ValueTypeList,MaxLevel,ValueUp,Cost,CostUp,English
11001,in_investment,3,Gold,Multiply,250,1.05,1.00E+09,1.25,Attract Investment
11002,in_eco_friendly,4,Power,Multiply,250,1.05,5.00E+10,1.25,Eco-friendly Development
11003,in_real_estate,5,ResearchCostDown,Divide,250,1.05,7.50E+11,1.25,Real Estate Trading
11004,in_regression,6,AllWeaponDmg,Multiply,250,1.05,4.00E+12,1.25,Regression Analysis
11005,in_authority,7,WeaponEnhanceCostDown,Divide,250,1.05,2.50E+13,1.25,Authorities
11006,in_vip,8,RankPowerDown,Divide,250,1.05,6.00E+14,1.25,VIP Card
11007,in_monolith,9,BlockHpDown,Divide,250,1.05,3.00E+15,1.25,Construct Monolith
11008,in_defense_cost,10,Gold,Multiply,250,1.05,4.50E+16,1.25,Defense Increase Costs
11009,in_religion,11,PrestigeBonus,Multiply,250,1.05,8.00E+17,1.25,Pioneer Faith
11010,in_energy_revolution,12,Power,Multiply,250,1.05,1.00E+18,1.25,Energy Revolution
11011,in_genetic_trait,13,WeaponEnhanceBonus,Multiply,250,1.05,4.50E+19,1.25,Extract Genetic Trait
11012,in_military_industry,14,WeaponEnhanceCostDown,Divide,250,1.05,5.00E+20,1.25,Military Industry Support
11013,in_empire_armada,15,AllWeaponDmg,Multiply,250,1.05,9.00E+21,1.25,Imperial Fleet
11014,in_colony,16,RankPowerDown,Divide,250,1.05,1.50E+22,1.25,Build Colony
11015,in_planet_weapon,17,BlockHpDown,Divide,250,1.05,3.50E+23,1.25,Planet Killer
11016,in_stellar_monitor,18,ResearchCostDown,Divide,250,1.05,6.00E+24,1.25,Stellar Monitor
11017,in_simulation,19,WeaponEnhanceBonus,Multiply,250,1.05,8.00E+25,1.25,Virtual Reality System
11018,in_civilization,20,Gold,Multiply,250,1.05,5.50E+26,1.25,Civilization Controller
11019,in_galaxy_parliament,21,RankPowerDown,Divide,250,1.05,7.50E+28,1.25,Galactic Council
11020,in_singularity_control,22,PrestigeBonus,Multiply,250,1.05,4.00E+30,1.25,Soul Control
