Id,Name,Type,ReferType,MaxLevel,ValueType,Value,ValueUp,Cost,CostUp
11,O-1,QuantumPoint,DecadeBlessing,10,Percent,0,10.0,1.00E+01,4.0
12,O-2,QuantumPoint,CenturyBlessing,20,Percent,0,10.0,1.00E+02,4.0
13,O-3,QuantumPoint,MillenniumBlessing,30,Percent,0,10.0,1.00E+03,4.0
14,O-4,QuantumPoint,RelveationUpgrade,100,Percent,0,1.0,5.00E+04,1.5
15,O-5,QuantumPointSpeed,BlessingAccel,100,Percent,0,1.0,7.50E+05,1.5
21,N-1,QuantumPoint,QuantumRank,100,Percent,0,1.0,1.00E+06,2.0
22,N-2,QuantumPoint,QuantumUpgrade,100,Percent,0,1.0,3.00E+07,2.0
23,N-3,QuantumPoint,NetworkHubUpgrade,100,Percent,0,1.0,9.00E+08,2.0
31,R-1,QuantumPoint,DoomRank,100,Percent,0,1.0,8.00E+12,2.0
32,R-2,QuantumPoint,AshUpgrade,100,Percent,0,1.0,2.00E+13,2.0
41,OX-1,QuantumPoint,DestinyRank,100,Percent,0,1.0,5.00E+15,2.5
