Level,DifficultyType,PowerTarget,GoldBonus,RewardId
1,0,,1.00E+00,
2,0,1.00E+04,4.00E+00,
3,0,5.00E+04,1.20E+01,
4,0,2.50E+05,3.00E+01,
5,0,1.25E+06,1.00E+02,
6,0,6.25E+06,2.50E+02,
7,0,3.13E+07,8.00E+02,
8,0,1.56E+08,2.00E+03,
9,0,7.81E+08,5.00E+03,
10,0,3.91E+09,8.00E+03,
11,Normal,1.95E+10,1.50E+04,
12,Normal,9.77E+10,3.50E+04,
13,Normal,4.88E+11,8.00E+04,
14,Normal,2.44E+12,1.50E+05,
15,Normal,1.22E+13,2.50E+05,
16,Hard,6.10E+13,6.00E+05,
17,Hard,3.05E+14,1.20E+06,
18,Hard,1.53E+15,2.50E+05,
19,Hard,7.63E+15,5.00E+05,
20,Hard,3.81E+16,1.00E+06,
