Key,Value
bt_axe_cnt,1
bt_axe_cnt_l,3
bt_axe_atk,10
bt_axe_rng,225
bt_bee_missile_cnt,3
bt_bee_missile_atk,35.38257408
bt_bee_missile_rng,350
bt_bee_missile_l_split,2
bt_shuriken_cnt,1
bt_shuriken_cnt_l,3
bt_shuriken_atk,7.040600798
bt_shuriken_rng,150
bt_shuriken_time,2
bt_gatling_cnt,20
bt_gatling_cnt_l,30
bt_gatling_atk,2.736914129
bt_gatling_atk_l,5.473828259
bt_gatling_rng,60
bt_durian_cnt,1
bt_durian_cnt_l,2
bt_durian_atk,37.10320187
bt_durian_rng,375
bt_durian_thorn_cnt,8
bt_durian_thorn_cnt_l,12
bt_durian_thorn_atk,14.84128075
bt_durian_thorn_time,0.4
bt_durian_thorn_rng,50
bt_wheel_cnt,2
bt_wheel_atk,25.07598784
bt_wheel_rng,350
bt_wheel_fire_atk,6.775345953
bt_wheel_fire_time,2.5
bt_wheel_fire_rng,100
bt_sniper_atk,48.34810637
bt_sniper_time,1.5
bt_sniper_rng,75
bt_rugby_ball_cnt,1
bt_rugby_ball_cnt_l,2
bt_rugby_ball_atk,47.55865568
bt_rugby_ball_rng,175
bt_rugby_ball_b,6
bt_rugby_ball_b_l,9
bt_wheel_saw_atk,16.66666667
bt_wheel_saw_time,6
bt_wheel_saw_rng,200
bt_wheel_saw_rng_l,400
bt_blaze_flask_cnt,2
bt_blaze_flask_cnt_l,5
bt_blaze_flask_atk,7.5
bt_blaze_flask_time,4
bt_blaze_flask_rng,400
bt_elephant_foot_atk,63.31340134
bt_elephant_foot_rng,550
bt_elephant_foot_fire_atk,14.0778977
bt_elephant_foot_fire_time,5
bt_elephant_foot_fire_rng,550
bt_billiard_ball_cnt,1
bt_billiard_ball_cnt_l,3
bt_billiard_ball_atk,11.57463226
bt_billiard_ball_time,10
bt_billiard_ball_rng,150
bt_fidget_spinner_atk,28.19548872
bt_fidget_spinner_rng,250
bt_fidget_spinner_big_atk,27.81211372
bt_fidget_spinner_big_rng,325
bt_fidget_spinner_r_cnt,3
bt_fidget_spinner_r_atk,13.90605686
bt_fidget_spinner_r_rng,150
bt_moon_flint_atk,14.1453831
bt_moon_flint_rng,175
bt_moon_flint_time,5
bt_moon_flint_time_l,7
bt_moon_flint_spd,750
