Id,Name,Rank,Sort,TypeList,ValueTypeList,MaxLevel,ValueUp,Cost,CostUp,English
20001,qu_qubit,1,3,SciencePoint,Multiply,500,1.05,1.00E+01,1.5,Qubit Circuit
20002,qu_fermion,2,4,"Gold, PrestigeBonus","Multiply, Multiply",500,"1.05, 1.05",7.50E+01,1.5,Fermion Space
20004,qu_heisenberg,5,5,MiracleCrystal,Multiply,500,1.05,2.50E+03,1.5,Heisenberg Device
20005,qu_superposition,10,6,RevelationLight,Multiply,500,1.05,1.25E+04,1.5,Superposition Controller
20010,qu_teleporter,20,7,DStone,Multiply,500,1.05,3.00E+04,1.5,Quantum Dimensional Teleporter
20006,qu_copenhagen,40,8,RankPowerDown,Divide,500,1.05,7.50E+04,1.525,Copenhagen Interpretation
20007,qu_pocket,60,9,"Gold, PrestigeBonus","Multiply, Multiply",500,"1.05, 1.05",3.50E+05,1.55,Dimensional Pocket
20008,qu_drive,80,10,Tachyon,Multiply,500,1.05,5.00E+06,1.575,Quantum Drive
20009,qu_cat,100,11,SciencePoint,Multiply,500,1.05,7.00E+07,1.6,Multidimensional Cat
20011,qu_grinder,125,12,DStone,Multiply,500,1.05,1.00E+10,1.625,Dimensional Grinder
20012,qu_big_crunch,150,13,Ash,Multiply,500,1.05,5.00E+15,1.65,Big Crunch Bomb
20013,qu_the_camel,175,14,"Gold, PrestigeBonus","Multiply, Multiply",500,"1.05, 1.05",4.00E+21,1.675,C.A.M.E.L.
20014,qu_wave_function,200,15,DestinyEnergy,Multiply,500,1.05,2.50E+29,1.7,Wave Function Selector
20015,qu_three_body,225,16,RankPowerDown,Divide,500,1.05,8.00E+40,1.725,Three-Body Problem Proof
20016,qu_quantum_wave,250,17,SciencePoint,Multiply,500,1.05,9.00E+54,1.75,Quantum Field Amplification Technology
20017,qu_battery,300,18,DFuel,Multiply,500,1.03,5.00E+60,1.755,Quantum Battery
20018,qu_antimatter,350,19,"Gold, PrestigeBonus","Multiply, Multiply",500,"1.05, 1.05",3.00E+64,1.76,Antimatter Exchanger
20019,qu_forked_dimension,400,20,DStone,Multiply,500,1.02,1.00E+67,1.765,Dimension Branch
20020,qu_time_editing,450,21,CosmicDialTick,Multiply,500,1.01,7.50E+70,1.77,Time Edit
20021,qu_schrodinger,500,22,SciencePoint,Multiply,500,1.03,5.00E+83,1.775,Schrödinger Equation
20022,qu_treasury,550,23,"Gold, PrestigeBonus","Multiply, Multiply",500,"1.05, 1.05",2.50E+93,1.78,Inter-dimensional Treasury
20023,qu_many_world,600,24,RankPowerDown,Divide,500,1.05,4.00E+102,1.785,Many-worlds Interpretation
