Id,Name,NameArgument,Sort,UnlockExpandLevel,UnlockProgress,Type,ValueType,Value,UnlockCost,UpgradeLevel,UpgradeType,UpgradeValueType,UpgradeValue,UpgradeValueUpType,UpgradeCostType,UpgradeCostId,UpgradeCost,UpgradeCostUp,UpgradeCostUpType,English
1,rc_train_lantern,,4,0,0,0,0,0,5,25,DFuel,Multiply,1.05,Multiply,Rune,0,1000000,20000.0,Add,Engineer's Lantern
2,rc_train_communicator,,5,0,0,0,0,0,5,25,DFuel,Multiply,1.05,Multiply,DFuel,0,1.00E+32,1.25,Multiply,Engineer's Radio
3,rc_train_hat,,6,0,0,0,0,0,5,25,TrainThrust,Multiply,1.02,Multiply,Rune,0,2500000,50000.0,Add,Engineer's Hat
4,rc_train_telescope,,7,0,0,0,0,0,5,25,TrainThrust,Multiply,1.02,Multiply,DFuel,0,1.00E+32,1.25,Multiply,Engineer's Telescope
11,rc_course_pocket_watch,,9,0,0,0,0,0,5,10,TrainThrust,Percent,10.0,Add,Map,0,1,0.1,Add,Traveler's Watch
12,rc_course_writing_set,,10,0,0,0,0,0,5,1,TrainThrust,Multiply,2.0,Multiply,Map,1,1,0.5,Add,Traveler's Pen
13,rc_course_teacup,,11,0,0,0,0,0,5,10,TrainFrictionDown,Divide,1.0242688,Multiply,Map,0,1,0.1,Add,Traveler's Teacup
14,rc_course_trunk,,12,0,0,0,0,0,5,1,TrainFrictionDown,Divide,2.0,Multiply,Map,1,1,0.5,Add,Traveler's Bag
101,rc_log_train_upgrade,1,14,0,0,TrainUpgrade,Percent,50.0,5,0,0,0,0,0,0,0,,0,0,Train Upgrade
102,rc_log_train_upgrade,2,15,0,10,TrainUpgrade,Percent,50.0,5,0,0,0,0,0,0,0,,0,0,Train Upgrade
103,rc_log_course_expand,1,16,0,300,StarSignCourseExpand,Add,1.0,10,0,0,0,0,0,0,0,,0,0,Route Expansion
104,rc_log_upgrade_expand,1,17,0,700,RoyalCarriageUpgradeLevel,Add,1.0,5,0,0,0,0,0,0,0,,0,0,Upgrade Expansion
105,rc_log_train_upgrade,3,18,1,10,TrainUpgrade,Percent,50.0,5,0,0,0,0,0,0,0,,0,0,Train Upgrade
106,rc_log_course_expand,2,19,1,300,StarSignCourseExpand,Add,1.0,10,0,0,0,0,0,0,0,,0,0,Route Expansion
107,rc_log_upgrade_expand,2,20,1,700,RoyalCarriageUpgradeLevel,Add,1.0,5,0,0,0,0,0,0,0,,0,0,Upgrade Expansion
108,rc_log_train_upgrade,4,21,2,10,TrainUpgrade,Percent,50.0,5,0,0,0,0,0,0,0,,0,0,Train Upgrade
109,rc_log_course_expand,3,22,2,300,StarSignCourseExpand,Add,1.0,10,0,0,0,0,0,0,0,,0,0,Route Expansion
110,rc_log_upgrade_expand,3,23,2,700,RoyalCarriageUpgradeLevel,Add,1.0,5,0,0,0,0,0,0,0,,0,0,Upgrade Expansion
111,rc_log_train_upgrade,5,24,3,10,TrainUpgrade,Percent,50.0,5,0,0,0,0,0,0,0,,0,0,Train Upgrade
112,rc_log_course_expand,4,25,3,300,StarSignCourseExpand,Add,1.0,10,0,0,0,0,0,0,0,,0,0,Route Expansion
113,rc_log_upgrade_expand,4,26,3,700,RoyalCarriageUpgradeLevel,Add,1.0,5,0,0,0,0,0,0,0,,0,0,Upgrade Expansion
114,rc_log_train_upgrade,6,27,4,10,TrainUpgrade,Percent,50.0,5,0,0,0,0,0,0,0,,0,0,Train Upgrade
115,rc_log_course_expand,5,28,4,300,StarSignCourseExpand,Add,1.0,11,0,0,0,0,0,0,0,,0,0,Route Expansion
116,rc_log_upgrade_expand,5,29,4,700,RoyalCarriageUpgradeLevel,Add,1.0,6,0,0,0,0,0,0,0,,0,0,Upgrade Expansion
117,rc_log_train_upgrade,7,30,5,10,TrainUpgrade,Percent,50.0,6,0,0,0,0,0,0,0,,0,0,Train Upgrade
118,rc_log_course_expand,6,31,5,300,StarSignCourseExpand,Add,1.0,12,0,0,0,0,0,0,0,,0,0,Route Expansion
119,rc_log_upgrade_expand,6,32,5,700,RoyalCarriageUpgradeLevel,Add,1.0,7,0,0,0,0,0,0,0,,0,0,Upgrade Expansion
120,rc_log_train_upgrade,8,33,6,10,TrainUpgrade,Percent,50.0,7,0,0,0,0,0,0,0,,0,0,Train Upgrade
121,rc_log_course_expand,7,34,6,300,StarSignCourseExpand,Add,1.0,13,0,0,0,0,0,0,0,,0,0,Route Expansion
122,rc_log_upgrade_expand,7,35,6,700,RoyalCarriageUpgradeLevel,Add,1.0,8,0,0,0,0,0,0,0,,0,0,Upgrade Expansion
123,rc_log_train_upgrade,9,36,7,10,TrainUpgrade,Percent,50.0,8,0,0,0,0,0,0,0,,0,0,Train Upgrade
124,rc_log_course_expand,8,37,7,300,StarSignCourseExpand,Add,1.0,14,0,0,0,0,0,0,0,,0,0,Route Expansion
125,rc_log_upgrade_expand,8,38,7,700,RoyalCarriageUpgradeLevel,Add,1.0,9,0,0,0,0,0,0,0,,0,0,Upgrade Expansion
126,rc_log_train_upgrade,10,39,8,10,TrainUpgrade,Percent,50.0,9,0,0,0,0,0,0,0,,0,0,Train Upgrade
127,rc_log_course_expand,9,40,8,300,StarSignCourseExpand,Add,1.0,15,0,0,0,0,0,0,0,,0,0,Route Expansion
128,rc_log_upgrade_expand,9,41,8,700,RoyalCarriageUpgradeLevel,Add,1.0,10,0,0,0,0,0,0,0,,0,0,Upgrade Expansion
129,rc_log_train_upgrade,11,42,9,10,TrainUpgrade,Percent,50.0,10,0,0,0,0,0,0,0,,0,0,Train Upgrade
130,rc_log_course_upgrade,1,43,9,100,StarSignBonus,Multiply,2.0,10,0,0,0,0,0,0,0,,0,0,Route Upgrade
131,rc_log_course_upgrade,2,44,9,200,StarSignBonus,Multiply,2.0,12,0,0,0,0,0,0,0,,0,0,Route Upgrade
132,rc_log_course_upgrade,3,45,9,300,StarSignBonus,Multiply,2.0,14,0,0,0,0,0,0,0,,0,0,Route Upgrade
133,rc_log_course_upgrade,4,46,9,400,StarSignBonus,Multiply,2.0,16,0,0,0,0,0,0,0,,0,0,Route Upgrade
134,rc_log_course_upgrade,5,47,9,500,StarSignBonus,Multiply,2.0,18,0,0,0,0,0,0,0,,0,0,Route Upgrade
135,rc_log_course_upgrade,6,48,9,600,StarSignBonus,Multiply,2.0,20,0,0,0,0,0,0,0,,0,0,Route Upgrade
136,rc_log_course_upgrade,7,49,9,700,StarSignBonus,Multiply,2.0,22,0,0,0,0,0,0,0,,0,0,Route Upgrade
