Id,Tag,Type,ValueType,Value,ValueUp,TimeAdd,TimeAddCost,MaxLevel,LevelUpCost
1,event_year_1_secret_lab,Gold,Percent,100.0,5.0,43200,10,100,15
2,event_year_1_secret_lab,Power,Percent,100.0,5.0,43200,10,100,15
3,event_year_1_secret_lab,PrestigeBonus,Percent,100.0,5.0,43200,10,100,15
4,event_year_1_secret_lab,RuneChance,Multiply,1.25,0.01,43200,10,100,15
5,event_year_1_secret_lab,SciencePoint,Percent,25.0,1.0,43200,10,100,15
6,event_year_1_secret_lab,Ether,Percent,25.0,1.0,43200,10,100,15
7,event_year_1_secret_lab,BattleStat,Percent,50.0,2.5,43200,10,100,15
8,event_year_1_secret_lab,ArtifactDrop,Add,10.0,0.5,43200,10,100,15
9,event_year_1_secret_lab,ForgeSpeed,Percent,10.0,0.5,43200,10,100,15
11,event_year_1_5_buff,Gold,Percent,50.0,2.0,43200,25,101,15
12,event_year_1_5_buff,Power,Percent,50.0,2.0,43200,25,101,15
13,event_year_1_5_buff,RuneChance,Multiply,1.25,0.01,43200,25,76,25
14,event_year_1_5_buff,Ether,Percent,25.0,1.0,43200,25,76,15
15,event_year_1_5_buff,SciencePoint,Percent,25.0,1.0,43200,25,126,15
16,event_year_1_5_buff,QuantumPoint,Percent,25.0,1.0,43200,25,126,15
17,event_year_1_5_buff,ArtifactDrop,Percent,5.0,0.2,43200,25,101,20
18,event_year_1_5_buff,LagrangeDrop,Percent,5.0,0.2,43200,25,101,20
19,event_year_1_5_buff,ForgeSpeed,Percent,5.0,0.2,43200,25,101,25
21,bf_world_fire,TapBuffMax,Add,500.0,0,0,0,0,0
22,bf_world_fire,DefaultWeaponDmg,Percent,1000.0,0,0,0,0,0
23,bf_world_water,ResearchCostDown,Divide,1000.0,0,0,0,0,0
24,bf_world_magic,BlockHpDown,Divide,1000.0,0,0,0,0,0
