Id,Type,Weight,ValueType,UpgradeCost,UpgradeCostup,LevelBonusUp,LevelBonusUpUp,ValueCommon,ValueRare,ValueEpic,ValueLegend
1,Gold,1.0,Percent,10000,10000,2,2,5.0,10.0,20.0,50.0
2,Power,1.0,Percent,15000,15000,2,2,5.0,10.0,20.0,50.0
3,PrestigeBonus,1.0,Percent,10000,10000,2,2,5.0,10.0,20.0,50.0
4,WeaponEnhanceCostDown,1.0,Divide,10000,10000,2,2,1.0,1.5,3.0,10.0
5,ResearchCostDown,1.0,Divide,10000,10000,2,2,1.0,1.5,3.0,10.0
6,AllWeaponDmg,1.0,Percent,15000,15000,2,2,5.0,10.0,20.0,50.0
7,RankPowerDown,1.0,Divide,10000,10000,2,2,1.0,1.5,3.0,10.0
8,BlockHpDown,1.0,Divide,10000,10000,2,2,1.0,1.5,3.0,10.0
9,DivineBeastHpDown,1.0,Divide,10000,10000,2,2,1.0,1.5,3.0,10.0
10,SciencePoint,0.75,Percent,25000,25000,2,2,1.0,2.0,4.0,10.0
11,BattleHp,1.0,Percent,15000,15000,2,2,2.0,4.0,8.0,20.0
12,BattleAtk,1.0,Percent,15000,15000,2,2,2.0,4.0,8.0,20.0
13,DStone,0.25,Percent,25000,25000,2,2,0.1,0.2,0.4,1.0
