Id,X,Y,Circle,Number,Left,Right,Up,Down,Grade,TypeList,ValueTypeList,ValueList
14857,0,0,8,57,False,True,False,True,Legendary,"DStone, Gold, Power, RankPowerDown","Percent, Percent, Percent, Percent","10.0, 100.0, 100.0, -75.0"
14858,1,0,8,58,True,True,False,False,Common,RankPowerDown,Percent,-50.0
14859,2,0,8,59,True,True,False,False,Common,RankPowerDown,Percent,-50.0
14860,3,0,8,60,True,True,False,False,Common,Power,Percent,20.0
14861,4,0,8,61,True,True,False,True,Common,Power,Percent,20.0
14862,5,0,8,62,True,True,False,False,Common,Power,Percent,20.0
14863,6,0,8,63,True,True,False,False,Rare,ScienceRank,Add,5.0
14864,7,0,8,64,True,True,False,False,Common,SciencePoint,Percent,20.0
14801,8,0,8,1,True,True,False,True,Common,SciencePoint,Percent,20.0
14802,9,0,8,2,True,True,False,False,Common,SciencePoint,Percent,20.0
14803,10,0,8,3,True,True,False,False,Rare,ScienceRank,Add,5.0
14804,11,0,8,4,True,True,False,False,Common,PrestigeBonus,Percent,25.0
14805,12,0,8,5,True,True,False,True,Common,PrestigeBonus,Percent,25.0
14806,13,0,8,6,True,True,False,False,Common,PrestigeBonus,Percent,25.0
14807,14,0,8,7,True,True,False,False,Common,PrestigeBonus,Percent,25.0
14808,15,0,8,8,True,True,False,False,Common,WeaponEnhanceBonus,Percent,15.0
14809,16,0,8,9,True,False,False,True,Legendary,"Ether, AllWeaponDmg, PrestigeBonus, SoulEnhanceMaxLevelUp","Percent, Percent, Percent, Add","25.0, 50.0, 100.0, 1.0"
14856,0,1,8,56,False,False,True,True,Common,RankPowerDown,Percent,-50.0
14750,1,1,7,50,False,True,False,False,Common,SciencePoint,Percent,20.0
14751,2,1,7,51,True,False,False,True,Common,SciencePoint,Percent,20.0
14752,3,1,7,52,False,True,False,True,Common,RankPowerDown,Percent,-50.0
14753,4,1,7,53,True,True,True,True,Rare,DStone,Percent,5.0
14754,5,1,7,54,True,True,False,True,Common,Power,Percent,20.0
14755,6,1,7,55,True,True,False,False,Common,Power,Percent,20.0
14756,7,1,7,56,True,True,False,True,Common,Power,Percent,20.0
14701,8,1,7,1,True,True,True,False,Legendary,"DStone, Power, RankPowerDown","Percent, Percent, Percent","10.0, 100.0, -75.0"
14702,9,1,7,2,True,True,False,False,Common,PrestigeBonus,Percent,25.0
14703,10,1,7,3,True,True,False,False,Common,PrestigeBonus,Percent,25.0
14704,11,1,7,4,True,True,False,True,Common,PrestigeBonus,Percent,25.0
14705,12,1,7,5,True,True,True,True,Rare,SoulEnhanceMaxLevelUp,Add,1.0
14706,13,1,7,6,True,True,False,False,Common,SciencePoint,Percent,20.0
14707,14,1,7,7,True,True,False,True,Common,SciencePoint,Percent,20.0
14708,15,1,7,8,True,False,False,False,Common,SciencePoint,Percent,20.0
14810,16,1,8,10,False,False,True,True,Common,WeaponEnhanceBonus,Percent,15.0
14855,0,2,8,55,False,False,True,True,Common,RankPowerDown,Percent,-50.0
14749,1,2,7,49,False,True,False,False,Common,SciencePoint,Percent,20.0
14643,2,2,6,43,True,True,True,True,Epic,DStone,Percent,10.0
14644,3,2,6,44,True,False,True,False,Common,SciencePoint,Percent,20.0
14645,4,2,6,45,False,False,True,True,Common,Gold,Percent,20.0
14646,5,2,6,46,False,True,True,False,Common,Power,Percent,20.0
