Id,TargetType,TargetId,Bonus,MaxLevel,Cost,CostUp
3011,Research,3011,16.0,25,7.00E+71,20.0
3012,Research,3012,4.0,25,3.00E+74,20.0
3013,Research,3013,8.0,25,1.00E+77,20.0
3020,Research,3020,0,1,2.50E+83,10.0
3021,Research,3021,2.0,25,1.00E+83,20.0
3022,Research,3022,4.0,25,1.50E+86,20.0
3023,Research,3023,16.0,25,2.50E+89,20.0
3024,Research,3024,16.0,25,3.00E+92,20.0
3030,Research,3030,0,1,9.50E+95,10.0
3031,Research,3031,16.0,25,4.50E+95,20.0
3032,Research,3032,4.0,25,1.50E+99,20.0
3033,Research,3033,16.0,25,4.50E+102,20.0
3034,Research,3034,16.0,25,1.50E+106,20.0
3040,Research,3040,0,1,9.50E+109,10.0
3041,Research,3041,4.0,25,4.50E+109,20.0
3044,Research,3044,16.0,25,1.00E+113,20.0
3045,Research,3045,16.0,25,2.00E+116,20.0
3050,Research,3050,0,1,1.50E+123,10.0
3051,Research,3051,4.0,25,9.00E+122,20.0
3053,Research,3053,16.0,25,6.50E+127,20.0
3054,Research,3054,16.0,25,4.50E+132,20.0
3060,Research,3060,0,1,7.00E+137,10.0
3062,Research,3062,2.0,25,3.50E+137,20.0
3064,Research,3064,16.0,25,2.00E+143,20.0
3066,Research,3066,16.0,25,1.00E+149,20.0
3070,Research,3070,0,1,1.50E+155,10.0
3071,Research,3071,16.0,25,8.00E+154,20.0
3072,Research,3072,16.0,25,2.00E+160,20.0
3074,Research,3074,16.0,25,6.00E+165,20.0
3075,Research,3075,16.0,25,1.50E+171,20.0
3080,Research,3080,0,1,9.00E+176,10.0
3081,Research,3081,16.0,25,4.50E+176,20.0
3082,Research,3082,16.0,25,8.00E+183,20.0
3083,Research,3083,16.0,25,1.50E+191,20.0
3090,Research,3090,0,1,5.50E+198,10.0
3091,Research,3091,16.0,25,2.50E+198,20.0
3093,Research,3093,16.0,25,5.00E+212,20.0
3100,Research,3100,0,1,2.00E+227,10.0
3102,Research,3102,16.0,25,1.00E+227,20.0
3103,Research,3103,16.0,25,1.00E+245,20.0
3110,Research,3110,0,1,2.00E+291,10.0
3111,Research,3111,16.0,25,1.00E+291,40.0
3114,Research,3114,16.0,25,3.5e311,40.0
3116,Research,3116,16.0,25,1e332,40.0
3120,Research,3120,0,1,8e352,10.0
3122,Research,3122,16.0,25,4e352,40.0
3125,Research,3125,16.0,25,8e381,40.0
3130,Research,3130,0,1,4.5e411,10.0
3131,Research,3131,16.0,25,2e411,80.0
3132,Research,3132,16.0,25,2e428,80.0
3135,Research,3135,16.0,25,1.5e445,80.0
3140,Research,3140,0,1,4e462,10.0
3142,Research,3142,16.0,25,2e462,80.0
3143,Research,3143,8.0,25,3e495,80.0
3150,Research,3150,0,1,1e529,10.0
3151,Research,3151,16.0,25,6e528,160.0
3152,Research,3152,16.0,25,1.5e552,160.0
3154,Research,3154,16.0,25,4.5e575,160.0
3160,Research,3160,0,1,3e599,10.0
3162,Research,3162,16.0,25,1.5e599,160.0
3163,Research,3163,16.0,25,4e620,160.0
3164,Research,3164,16.0,25,1e642,160.0
3170,Research,3170,0,1,8e663,10.0
3171,Research,3171,16.0,25,4e664,320.0
3172,Research,3172,16.0,25,1e682,320.0
3174,Research,3174,16.0,25,2.5e700,320.0
3175,Research,3175,16.0,25,6e718,320.0
3180,Research,3180,0,1,3e737,10.0
3182,Research,3182,16.0,25,1.5e737,640.0
3183,Research,3183,16.0,25,6e768,640.0
3184,Research,3184,16.0,25,2e800,640.0
3190,Research,3190,0,1,2e832,10.0
3191,Research,3191,16.0,25,1e832,640.0
3192,Research,3192,16.0,25,4.5e857,640.0
3193,Research,3193,16.0,25,1.5e883,640.0
3194,Research,3194,16.0,25,6e908,640.0
3200,Research,3200,0,1,4.5e934,10.0
3201,Research,3201,16.0,25,2e934,1280.0
3202,Research,3202,16.0,25,1e955,1280.0
3203,Research,3203,16.0,25,4e977,1280.0
3205,Research,3205,16.0,25,1.5e999,1280.0
3206,Research,3206,16.0,25,7e1020,1280.0
1001,SoulAltar,1,25.0,8,4.50E+107,40.0
1002,SoulAltar,2,25.0,8,1.50E+111,40.0
1003,SoulAltar,3,25.0,8,6.00E+114,40.0
1004,SoulAltar,4,25.0,8,5.50E+121,40.0
1005,SoulAltar,5,25.0,8,8.00E+124,40.0
1006,SoulAltar,6,25.0,8,1.00E+128,40.0
1007,SoulAltar,7,25.0,8,1.50E+135,40.0
1008,SoulAltar,8,25.0,8,8.50E+138,40.0
1009,SoulAltar,9,25.0,8,4.00E+142,40.0
1010,SoulAltar,10,25.0,8,6.00E+150,40.0
1011,SoulAltar,11,25.0,8,2.00E+155,40.0
1012,SoulAltar,12,25.0,8,1.00E+160,40.0
1013,SoulAltar,13,25.0,8,2.50E+170,40.0
1014,SoulAltar,14,25.0,8,1.00E+176,40.0
1015,SoulAltar,15,100.0,1,5.00E+181,40.0
1016,SoulAltar,16,25.0,8,1.50E+192,40.0
1017,SoulAltar,17,25.0,8,7.00E+197,40.0
1018,SoulAltar,18,25.0,8,3.50E+203,40.0
