Icon,Name,Power (Damage),Cooldown,Price,Enhance Cost,Soul Dmg Upgrade,Soul Upgrade Cost,Id,Key,Sort,IsDefault,UnlockIndex,UnlockWeapons,UnlockWeaponKeys,UnlockWeaponEnhance,EnhanceCostUp,SoulUpgradeCostUp,SoulDmgEnhanceCost,SoulCostEnhanceCost,SoulEnhanceCostUp,EpicUpgradeCost,RagrangeBattleBonus,NoSpeed,NoDuration,NoSize,UseSkill,BasicData,InfoData,Description
assets/weapons/icons/ui_we_default_main.png,Default Main,5,0,,,,,5001,we_default_main,3,True,0,,,0,0,0,,,0,0,0,False,False,False,False,"{
""BulletId"" : ""bt_default_main"",
""Count"" : 1,
""Atk"" : 20,
""Angle"" : 15
}",,
assets/weapons/icons/ui_we_default_main_e.png,Default Main E,25,0,,,,,5099,we_default_main_e,4,True,0,,,0,0,0,,,0,0,0,False,False,False,False,"{
""BulletId"" : ""bt_default_main_e"",
""Count"" : 1,
""Atk"" : 100,
""Angle"" : 15
}",,
assets/weapons/icons/ui_we_axe.png,Double Axe,20,6.0,10,5,5,2,5002,we_axe,5,False,0,,,0,1.125,1.2,500,375,10K,50,1.0,"True, True","True, True","False, False",True,,i/#c/a,"""There's a better use for it than cutting wood."""
assets/weapons/icons/ui_we_bee_missile.png,Bee Missile,60,10.0,80,40,20,8,5003,we_bee_missile,6,False,1,,,0,1.125,1.2,8K,6K,10K,55,1.05,"True, True","True, True","False, False",True,,"i/c/a, $i/$c/$a","""Sweeter than bombs. More destructive than honey."""
assets/weapons/icons/ui_we_shuriken.png,Ninja Stars,180,9.0,500,250,50.6,20.2,5004,we_shuriken,7,False,2,,,0,1.125,1.2,20.2K,15.2K,10K,60,1.103,"False, False","False, False","False, False",True,,i/#c/a/t/w,"""They won't even know how many I threw."""
assets/weapons/icons/ui_we_gatling.png,Gatling,540,8.0,7.5K,3.75K,200,80,5005,we_gatling,8,False,3,,,0,1.125,1.2,80K,60K,10K,65,1.158,"True, True","True, True","False, False",True,,i/#c/#a,"""Sometimes it's good just to spray and pray."""
assets/weapons/icons/ui_we_durian.png,Durian,1.62K,7.5,100K,50K,1.9K,759,5006,we_durian,9,False,4,,,0,1.125,1.2,759K,569K,10K,70,1.216,"True, True","True, True","False, False",True,,"i/#c/a, i/n:bt_durian_thorn/#c/a","""Who would have thought something as sharp as thorns would be hidden in that smell?"""
assets/weapons/icons/ui_we_wheel.png,Heavy Wheel,4.86K,11.0,2M,1M,40K,16K,5007,we_wheel,10,False,5,,,0,1.125,1.2,16M,12M,10K,75,1.276,"True, True","True, False","True, True",True,,"i/c/a, $i/$n:bt_wheel_fire/$a/$t","""Careful you don't get flattened, too."""
assets/weapons/icons/ui_we_sniper.png,Sniper,14.6K,8.5,60M,30M,5.69M,2.28M,5008,we_sniper,11,False,6,,,0,1.125,1.2,2.28B,1.71B,10K,80,1.34,"True, True","True, True","False, False",True,,i/a/t/$w,"""Alpha. Bravo. Shh. Tango Down."""
assets/weapons/icons/ui_we_rugby_ball.png,Rugby Ball,43.7K,15.0,2B,1B,480M,192M,5009,we_rugby_ball,12,False,7,,,0,1.125,1.2,192B,144B,10K,85,1.407,"True, True","True, True","False, False",True,,i/#c/a/#b,"""That bounced everywhere, destroying everything."""
